Node,Interface,Status,Deployed_EPGs,Interface_Profile,Selector,Policy_Group,Switch_Profile
1003,eth1/11,up,None (Unbound),ISQ-RPTSQL-03_P2_DATA_ifp,ISQ-RPTSQL-03_P2_DATA,accbundle-ISQ-RPTSQL-03_P2_DATA_ifpg,1003-1004
1004,eth1/11,up,None (Unbound),ISQ-RPTSQL-03_P2_DATA_ifp,ISQ-RPTSQL-03_P2_DATA,accbundle-ISQ-RPTSQL-03_P2_DATA_ifpg,1003-1004
1003,eth1/5,down,None (Unbound),W7XADNBCK02_P1_DATA_ifp,W7XADNBCK02_P1_DATA,accbundle-W7XADNBCK02_P1_DATA_ifpg,1003-1004
1004,eth1/5,down,None (Unbound),W7XADNBCK02_P1_DATA_ifp,W7XADNBCK02_P1_DATA,accbundle-W7XADNBCK02_P1_DATA_ifpg,1003-1004
1003,eth1/10,up,None (Unbound),ISQ-RPTSQL-03_P1_DATA_ifp,ISQ-RPTSQL-03_P1_DATA,accbundle-ISQ-RPTSQL-03_P1_DATA_ifpg,1003-1004
1004,eth1/10,up,None (Unbound),ISQ-RPTSQL-03_P1_DATA_ifp,ISQ-RPTSQL-03_P1_DATA,accbundle-ISQ-RPTSQL-03_P1_DATA_ifpg,1003-1004
1003,eth1/14,down,None (Unbound),W7XPRCONOPW01_DATA_ifp,W7XPRCONOPW01_DATA,accbundle-W7XPRCONOPW01_DATA_ifpg,1003-1004
1004,eth1/14,down,None (Unbound),W7XPRCONOPW01_DATA_ifp,W7XPRCONOPW01_DATA,accbundle-W7XPRCONOPW01_DATA_ifpg,1003-1004
1003,eth1/13,up,None (Unbound),ISQ-RPTSQL-04_P2_DATA_ifp,ISQ-RPTSQL-04_P2_DATA,accbundle-ISQ-RPTSQL-04_P2_DATA_ifpg,1003-1004
1004,eth1/13,up,None (Unbound),ISQ-RPTSQL-04_P2_DATA_ifp,ISQ-RPTSQL-04_P2_DATA,accbundle-ISQ-RPTSQL-04_P2_DATA_ifpg,1003-1004
1004,eth1/28,up,Production-TNT/Network-Centric_ANP/VLAN18_10.6.2.0,W7XDVSQLX01_P1_DATA_ifp,W7XDVSQLX01_P1_DATA,accportgrp-1gbps_standard,1004
1004,eth1/45,up,Production-TNT/Network-Centric_ANP/VLAN192_192.168.1.0,W7XPRCONOPW01-DRAC_ifp,W7XPRCONOPW01-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/38,down,Production-TNT/Network-Centric_ANP/VLAN192_192.168.1.0,W7XSTPIPWE01-DRAC_ifp,W7XSTPIPWE01-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/26,up,Production-TNT/Network-Centric_ANP/VLAN194_192.168.4.0,W7th-PureStorage_MGMT,W7th-PureStorage_MGMT,accportgrp-Access_Vlan194_ifpg,1004
1004,eth1/44,up,Production-TNT/Network-Centric_ANP/VLAN193_192.168.2.0,W7ABBY02-DRAC_ifp,W7ABBY02-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/43,up,Production-TNT/Network-Centric_ANP/VLAN193_192.168.2.0,W7ABBY01-DRAC_ifp,W7ABBY01-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/37,up,Production-TNT/Network-Centric_ANP/VLAN192_192.168.1.0,ISQ-RPTSQL-03-DRAC_ifp,ISQ-RPTSQL-03-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/42,up,Production-TNT/Network-Centric_ANP/VLAN194_192.168.4.0,Cisco_UCS_Chassis_MGMT_ifp,Cisco_UCS_Chassis_MGMT,accportgrp-1gbps_standard,1004
1004,eth1/35,up,Production-TNT/Network-Centric_ANP/VLAN192_192.168.1.0,ISQ-BCDC03-DRAC_ifp,ISQ-BCDC03-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/25,up,Production-TNT/Network-Centric_ANP/VLAN194_192.168.4.0,W7th-Brocade-MGMT,W7th-Brocade-MGMT,accportgrp-Access_Vlan194_ifpg,1004
1004,eth1/36,up,Production-TNT/Network-Centric_ANP/VLAN193_192.168.2.0,W7XADVSQL01-DRAC_ifp,W7XADVSQL01-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/39,up,Production-TNT/Network-Centric_ANP/VLAN193_192.168.2.0,BOW7XDCXP001-DRAC_ifp,BOW7XDCXP001-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/27,up,Production-TNT/Network-Centric_ANP/VLAN192_192.168.1.0,W7X-PR-QNAP-01-MGMT_ifp,W7X-PR-QNAP-01-MGMT,accportgrp-1gbps_standard,1004
1004,eth1/40,up,Production-TNT/Network-Centric_ANP/VLAN192_192.168.1.0,ISQ-ESXSVR-03-DRAC_ifp,ISQ-ESXSVR-03-DRAC,accportgrp-1gbps_standard,1004
1004,eth1/41,down,Production-TNT/Network-Centric_ANP/VLAN192_192.168.1.0,W7XADNBCK02-DRAC_ifp,W7XADNBCK02-DRAC,accportgrp-1gbps_standard,1004
